"Gene_Name","Gene_ID","KEGG_ID","Pathway_Name","EC_No"
"CCNE1","898","hsa04115","p53 signaling pathway","-"
"CCNE1","898","hsa05162","Measles","-"
"CCNE1","898","hsa05200","Pathways in cancer","-"
"CCNE1","898","hsa05215","Prostate cancer","-"
"CCNE1","898","hsa05222","Small cell lung cancer","-"
"CCR2","729230","hsa04060","Cytokine-cytokine receptor interaction","-"
"CCR2","729230","hsa04062","Chemokine signaling pathway","-"
"CCR2","729230","hsa05140","Leishmaniasis","1.14.99.1"
"CD24","100133941","hsa04640","Hematopoietic cell lineage","-"
"CD24","100133941","hsa04640","Hematopoietic cell lineage","-"
"CD248","57124","-","-","-"
"CD44","960","hsa04512","ECM-receptor interaction","-"
"CD44","960","hsa04640","Hematopoietic cell lineage","-"
"CD44","960","hsa05131","Shigellosis","-"
"CD69","969","-","-","-"
"CDC20B","166979","-","-","-"
"CDC25B","994","hsa04010","MAPK signaling pathway","3.1.3.48"
"CDC25B","994","hsa04110","Cell cycle","3.1.3.48"
"CDC25B","994","hsa04914","Progesterone-mediated oocyte maturation","3.1.3.48"
"CDCP1","64866","-","-","-"
"CDCP1","64866","-","-","-"
"CDH1","999","hsa04514","Cell adhesion molecules (CAMs)","-"
"CDH1","999","hsa04520","Adherens junction","-"
"CDH1","999","hsa05100","Bacterial invasion of epithelial cells","-"
"CDH1","999","hsa05130","Pathogenic Escherichia coli infection","-"
"CDH1","999","hsa05200","Pathways in cancer","-"
"CDH1","999","hsa05213","Endometrial cancer","-"
"CDH1","999","hsa05216","Thyroid cancer","-"
"CDH1","999","hsa05218","Melanoma","-"
"CDH1","999","hsa05219","Bladder cancer","-"
"CDH3","1001","hsa04514","Cell adhesion molecules (CAMs)","-"
"CDH6","1004","-","-","-"
"CDK4","1019","hsa04110","Cell cycle","-"
"CDK4","1019","hsa04115","p53 signaling pathway","2.7.11.22"
"CDK4","1019","hsa04530","Tight junction","2.7.11.22"
"CDK4","1019","hsa04660","T cell receptor signaling pathway","2.7.11.22"
"CDK4","1019","hsa05162","Measles","2.7.11.22"
"CDK4","1019","hsa05200","Pathways in cancer","2.7.11.22"
"CDK4","1019","hsa05212","Pancreatic cancer","2.7.11.22"
"CDK4","1019","hsa05214","Glioma","2.7.11.22"
"CDK4","1019","hsa05218","Melanoma","2.7.11.22"
"CDK4","1019","hsa05219","Bladder cancer","2.7.11.22"
"CDK4","1019","hsa05220","Chronic myeloid leukemia","2.7.11.22"
"CDK4","1019","hsa05222","Small cell lung cancer","2.7.11.22"
"CDK4","1019","hsa05223","Non-small cell lung cancer","2.7.11.22"
"CDKN1A","1026","hsa04012","ErbB signaling pathway","-"
"CDKN1A","1026","hsa04110","Cell cycle","-"
"CDKN1A","1026","hsa04115","p53 signaling pathway","-"
"CDKN1A","1026","hsa05160","Hepatitis C","-"
"CDKN1A","1026","hsa05200","Pathways in cancer","-"
"CDKN1A","1026","hsa05214","Glioma","-"
"CDKN1A","1026","hsa05215","Prostate cancer","-"
"CDKN1A","1026","hsa05218","Melanoma","-"
"CDKN1A","1026","hsa05219","Bladder cancer","-"
"CDKN1A","1026","hsa05220","Chronic myeloid leukemia","-"
"CDKN1B","1027","hsa04012","ErbB signaling pathway","-"
"CDKN1B","1027","hsa04110","Cell cycle","-"
"CDKN1B","1027","hsa05162","Measles","-"
"CDKN1B","1027","hsa05200","Pathways in cancer","-"
"CDKN1B","1027","hsa05215","Prostate cancer","-"
"CDKN1B","1027","hsa05220","Chronic myeloid leukemia","-"
"CDKN1B","1027","hsa05222","Small cell lung cancer","-"
"CDKN2A","1029","hsa04110","Cell cycle","-"
"CDKN2A","1029","hsa04115","p53 signaling pathway","-"
"CDKN2A","1029","hsa05200","Pathways in cancer","-"
"CDKN2A","1029","hsa05212","Pancreatic cancer","-"
"CDKN2A","1029","hsa05214","Glioma","-"
"CDKN2A","1029","hsa05218","Melanoma","-"
"CDKN2A","1029","hsa05219","Bladder cancer","-"
"CDKN2A","1029","hsa05220","Chronic myeloid leukemia","-"
"CDKN2A","1029","hsa05223","Non-small cell lung cancer","-"
"CDKN3","1033","-","-","3.1.3.16; 3.1.3.48"
"CDR2L","30850","-","-","-"
"CEACAM1","634","-","-","-"
"CEP290","80184","-","-","-"
"CLDN1","9076","hsa04514","Cell adhesion molecules (CAMs)","-"
"CLDN1","9076","hsa04530","Tight junction","-"
"CLDN1","9076","hsa04670","Leukocyte transendothelial migration","-"
"CLDN1","9076","hsa05130","Pathogenic Escherichia coli infection","-"
"CLDN1","9076","hsa05160","Hepatitis C","-"
"CLDN1","9076","hsa04514","Cell adhesion molecules (CAMs)","-"
"CLDN1","9076","hsa04530","Tight junction","-"
"CLDN1","9076","hsa04670","Leukocyte transendothelial migration","-"
"CLDN1","9076","hsa05130","Pathogenic Escherichia coli infection","-"
"CLDN1","9076","hsa05160","Hepatitis C","-"
"CLMP","79827","-","-","-"
"CMTM8","152189","-","-","-"
"CNR2","1269","-","-","-"
"CNR2","1269","hsa04080","Neuroactive ligand-receptor interaction","-"
"CNTF","1270","hsa04060","Cytokine-cytokine receptor interaction","-"
"CNTF","1270","hsa04630","Jak-STAT signaling pathway","-"
"COL3A1","1281","hsa04510","Focal adhesion","-"
"COL3A1","1281","hsa04512","ECM-receptor interaction","-"
"COL3A1","1281","hsa04974","Protein digestion and absorption","-"
"COL3A1","1281","hsa05146","Amoebiasis","-"
"COL4A5","1287","hsa04510","Focal adhesion","-"
"COL4A5","1287","hsa04512","ECM-receptor interaction","-"
"COL4A5","1287","hsa04974","Protein digestion and absorption","-"
"COL4A5","1287","hsa05146","Amoebiasis","-"
"COL4A5","1287","hsa05200","Pathways in cancer","-"
"COL4A5","1287","hsa05222","Small cell lung cancer","-"
"COLEC11","78989","hsa04145","Phagosome","-"
"COPS2","9318","-","-","-"
"COX7A1","1346","hsa00190","Oxidative phosphorylation","1.9.3.1"
"COX7A1","1346","hsa04260","Cardiac muscle contraction","1.9.3.1"
"COX7A1","1346","hsa05010","Alzheimer's disease","1.9.3.1"
"COX7A1","1346","hsa05012","Parkinson's disease","1.9.3.1"
"COX7A1","1346","hsa05016","Huntington's disease","1.9.3.1"
"CRABP2","1382","-","-","-"
"CREB1","1385","hsa04380","Osteoclast differentiation","-"
"CREB1","1385","hsa04612","Antigen processing and presentation","-"
"CREB1","1385","hsa04916","Melanogenesis","-"
"CREB1","1385","hsa04962","Vasopressin-regulated water reabsorption","-"
"CREB1","1385","hsa05016","Huntington's disease","-"
"CREB1","1385","hsa05152","Tuberculosis","-"
"CREB1","1385","hsa05215","Prostate cancer","-"
"CRISPLD2","83716","-","-","-"
"CSNK2B","1460","hsa03008","Ribosome biogenesis in eukaryotes","-"
"CSNK2B","1460","hsa04310","Wnt signaling pathway","-"
"CSNK2B","1460","hsa04520","Adherens junction","-"
"CSNK2B","1460","hsa04530","Tight junction","-"
"CSNK2B","1460","hsa05162","Measles","-"
"CTHRC1","115908","-","-","-"
"CTNNB1","1499","hsa04310","Wnt signaling pathway","-"
"CTNNB1","1499","hsa04510","Focal adhesion","-"
"CTNNB1","1499","hsa04520","Adherens junction","-"
"CTNNB1","1499","hsa04530","Tight junction","-"
"CTNNB1","1499","hsa04670","Leukocyte transendothelial migration","-"
"CTNNB1","1499","hsa04916","Melanogenesis","-"
"CTNNB1","1499","hsa05100","Bacterial invasion of epithelial cells","-"
"CTNNB1","1499","hsa05130","Pathogenic Escherichia coli infection","-"
"CTNNB1","1499","hsa05200","Pathways in cancer","-"
"CTNNB1","1499","hsa05210","Colorectal cancer","-"
"CTNNB1","1499","hsa05213","Endometrial cancer","-"
"CTNNB1","1499","hsa05215","Prostate cancer","-"
"CTNNB1","1499","hsa05216","Thyroid cancer","-"
"CTNNB1","1499","hsa05217","Basal cell carcinoma","-"
"CTNNB1","1499","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","1.14.14.1"
"CTNND1","1500","hsa04520","Adherens junction","-"
"CTNND1","1500","hsa04670","Leukocyte transendothelial migration","-"
"CTSB","1508","hsa04142","Lysosome","3.4.22.1"
"CTSB","1508","hsa04612","Antigen processing and presentation","3.4.22.1"
"CTSD","1509","hsa04142","Lysosome","3.4.23.5"
"CTSH","1512","hsa04142","Lysosome","3.4.22.16"
"CTSW","1521","-","-","3.4.22.-"
"CXCL12","6387","hsa04060","Cytokine-cytokine receptor interaction","-"
"CXCL12","6387","hsa04062","Chemokine signaling pathway","-"
"CXCL12","6387","hsa04360","Axon guidance","-"
"CXCL12","6387","hsa04670","Leukocyte transendothelial migration","-"
"CXCL12","6387","hsa04672","Intestinal immune network for IgA production","-"
"CXCL12","6387","hsa05323","Rheumatoid arthritis","-"
"CXCL17","284340","-","-","-"
"CXCL5","6374","hsa04060","Cytokine-cytokine receptor interaction","-"
"CXCL5","6374","hsa04062","Chemokine signaling pathway","-"
"CXCL5","6374","hsa05323","Rheumatoid arthritis","-"
"CXCL9","4283","hsa04062","Chemokine signaling pathway","-"
"CXCL9","4283","hsa04620","Toll-like receptor signaling pathway","-"
"CXCL9","4283","-","-","-"
"CXCR4","7852","hsa04060","Cytokine-cytokine receptor interaction","-"
"CXCR4","7852","hsa04062","Chemokine signaling pathway","-"
"CXCR4","7852","hsa04144","Endocytosis","-"
"CXCR4","7852","hsa04360","Axon guidance","-"
"CXCR4","7852","hsa04670","Leukocyte transendothelial migration","-"
"CXCR4","7852","hsa04672","Intestinal immune network for IgA production","-"
"CYP17A1","1586","hsa00140","Steroid hormone biosynthesis","1.14.99.9"
