"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"CCND1","595","CCND1 cyclin D1","11","BCL1; PRAD1; U21B31; D11S287E; CCND1","14740230; 8826947; 11900573; 15863141; 18822177; 12955092; 19502783","1334","AKAP8,AR,BRCA1,CALM1,CCNDBP1,CDK4,CDK6,CDKN1A,CDKN1B,CTNNB1,CUL3,DMTF1,EP300,ESR1,GSK3B,HDAC3,HERC5,IFI27,INSM1,KAT2B,MCM10,MYBL2,NCOA1,NCOA3,NPDC1,ORC4L,PCNA,PRKACA,RB1,RBL1,RBL2,RBX1,RFC1,RUNX1,SP1,STAT3,TAF1,THRA,THRB,TSC2"
"CCNE1","898","CCNE1 cyclin E1","19","CCNE; CCNE1","14648662","14452","AR,BRCA2,CABLES1,CALM1,CCT4,CDC25A,CDK1,CDK2,CDK3,CDKN1A,COIL,CUL3,FBXW7,GSK3B,HERC5,MRE11A,MYBL2,NBN,PIN1,PRKAR1A,RBL1,RBL2,REL,SKP2,SMARCA4,SMARCC1,SMARCD3"
"CCR2","729230","chemokine (C-C motif) receptor 2","3","CKR2; CCR2A; CCR2B; CD192; CKR2A; CKR2B; CMKBR2; MCP-1-R; CC-CKR-2; FLJ78302; MGC103828; MGC111760; MGC168006","20364004","537","CCL11,CCL13,CCL16,CCL2,CCL7,CCL8,CCR5,JAK2,TPST1,TPST2"
"CD24","100133941","CD24 molecule","6","CD24A; FLJ22950; FLJ43543; MGC75043","19130400","122183","FGR,LYN,SELP"
"CD248","57124","CD248 CD248 molecule; endosialin","11","TEM1; CD164L1; MGC119478; MGC119479","17043662","10699","NA"
"CD44","960","CD44 CD44 molecule (Indian blood group)","11","IN; LHR; MC56; MDU2; MDU3; MIC4; Pgp1; CDW44; CSPG8; HCELL; HUTCH-I; ECMR-III; MGC10468; CD44","159300340","508","ANK1,ARHGEF1,ARHGEF12,CD4,CD44,CD74,COL14A1,COL1A1,COL1A2,CSK,DMP1,EGFR,EPB41,ERBB4,EZR,FGF2,FYN,GARS,HBEGF,HMMR,IGFBP3,LCK,MADCAM1,MMP1,MMP7,MMP9,NF2,PKN1,SELE,SPP1,SRGN,TGFBR1,TGFBR2,TIAM1,VAV2,VCAN"
"CD69","969","CD69 CD69 molecule","12","CLEC2C; CD69","18949382","90963","CD69"
"CDC20B","166979","CDC20B cell division cycle 20 homolog B (S. cerevisiae)","5","FLJ37927; G6VTS76519; CDC20B","17043662","65056","NA"
"CDC25B","994","CDC25B cell division cycle 25 homolog B (S. pombe)","20","CDC25B","18949382","41451","AR,AURKA,BRSK1,BRSK2,CDK1,CHEK1,CREBBP,CSNK2A1,CSNK2B,ESR1,FHL3,KAT2B,MAPK14,MELK,SFN,YWHAB,YWHAE,YWHAH,YWHAQ,YWHAZ"
"CDCP1","64866","CUB domain containing protein 1","3","CD318; TRASK; SIMA135","20372833","11276","PLG,PRKCD,SRC,ST14"
